COMMUNE,population,population_density,all_cash_distance_km,atm_distance_km,atm_access_gap_km
Fischbach,1213.1341195365771,62.11366009471451,4.114144382097442,4.540322142139374,0.42617776004193164
Beaufort,2570.182121226505,186.76072677095087,4.259585154921982,4.503934141406819,0.2443489864848365
Feulen,2337.3969974704282,102.40651177104724,0.8265341021437287,4.303872740979748,3.4773386388360192
Waldbillig,1733.402202861373,74.6442833306276,4.20115849366361,4.275395427974185,0.07423693431057465
Betzdorf,4126.082917654276,157.5283155927294,1.3655862948101143,4.140927324524848,2.775341029714734
Dalheim,2489.96314647829,129.94799903599477,4.053461213162851,4.079315384301993,0.02585417113914179
Goesdorf,1637.4565889873486,55.67710960134038,3.8589971906782448,4.045859809156976,0.18686261847873142
Koerich,2898.4838203042973,152.51094840781764,1.0524976966072708,3.800304204960845,2.747806508353574
Ell,1471.9583232249938,67.87470394558626,3.585887151450646,3.585887151450646,0.0
Vallée de l'Ernz,2915.2790225926183,73.06098880972203,3.4631472734459674,3.490663399447751,0.027516126001783547
Flaxweiler,2066.73353561407,68.51096841893784,2.997694982178651,3.466729967048476,0.469034984869825
Beckerich,2731.058430184314,95.59644845884134,3.1702137595641804,3.2930648782401195,0.12285111867593912
Helperknapp,4527.291572917196,120.04604683497523,3.291901769719316,3.2927115535104168,0.0008097837911007488
Heffingen,1513.3833821785795,114.00331736811462,2.6591124888352544,3.246582490871348,0.5874700020360937
Bous-Waldbredimus,2964.56340245127,105.95198951006154,3.066673940070229,3.2344513159030757,0.1677773758328467
Colmar-Berg,2020.872715503973,163.68332386301444,3.2069261080615368,3.2261711008826626,0.019244992821125795
Kehlen,5919.655907722022,207.3538172434885,3.1006461328680306,3.1720511435833343,0.0714050107153037
Biwer,1913.5758402433426,83.03862165523799,3.1570948579056632,3.1570948579056632,0.0
Weiler-la-Tour,2550.3095624445373,148.9321956027394,3.0487025403507797,3.05355238863353,0.004849848282750369
Roeser,6649.394150781831,276.3292289404454,2.6702210278051735,3.0320869316571257,0.3618659038519523
Parc Hosingen,3730.3986718634246,52.88040096700765,1.9484371072379694,2.912780823814794,0.9643437165768245
Reckange-sur-Mess,2933.184135309915,142.7990629689412,2.633417021121605,2.9041568609753305,0.2707398398537255
Pétange,18949.091809134086,1583.3210608243548,0.6804936356712453,2.832851937926258,2.1523583022550126
